batch,threads,batch_size,threats,parallel_ms,parallel_logs_per_sec,sequential_ms,speedup
1,1,50000,2433,156.212,320078,163.252,1.04507
2,1,50000,2396,188.149,265746,179.743,0.955319
3,1,50000,2425,179.578,278431,184.883,1.02954
4,1,50000,2455,185.191,269991,179.823,0.971015
5,1,50000,2484,184.257,271361,183.913,0.998135
1,2,50000,2433,104.722,477455,163.315,1.55951
2,2,50000,2396,89.3188,559793,160.065,1.79207
3,2,50000,2425,87.8229,569327,159.845,1.82008
4,2,50000,2455,85.0156,588127,164.325,1.93288
5,2,50000,2484,93.6328,534001,172.812,1.84564
1,4,50000,2433,66.5399,751429,174.049,2.61571
2,4,50000,2396,73.0593,684375,211.957,2.90116
3,4,50000,2425,79.9089,625712,197.992,2.47772
4,4,50000,2455,72.0917,693561,178.147,2.47112
5,4,50000,2484,74.655,669747,212.4,2.84508
1,8,50000,2433,83.7509,597009,150.066,1.79181
2,8,50000,2396,55.5378,900288,155.99,2.80872
3,8,50000,2425,49.8974,1.00206e+06,168.171,3.37034
4,8,50000,2455,64.0542,780589,150.778,2.35391
5,8,50000,2484,45.0793,1.10916e+06,168.714,3.7426
